qwk,mae,macro_f1,balanced_accuracy,accuracy,exact_or_adjacent,severe_recall,severe_precision,severe_f1,severe_missed,non_severe_progressed,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,severe_roc_auc,severe_pr_auc,severe_brier,log_loss,fold,repeat,model
0.954535,0.20625,0.775498,0.77953,0.79375,1,0.927835,0.891089,0.909091,7,11,0.9375,0.797468,0.6875,0.702128,0.787879,0.764706,0.989691,0.97654,0.0394943,0.534296,4,1,xgboost
0.94399,0.225,0.783005,0.767412,0.78125,0.99375,0.895833,0.955556,0.924731,10,4,0.888889,0.746835,0.75,0.75,0.71875,0.75,0.992978,0.985012,0.0325865,0.570692,0,2,xgboost
0.951327,0.2,0.823691,0.816387,0.803125,0.996875,0.90625,0.915789,0.910995,9,8,0.839506,0.769231,0.8,0.770833,0.78125,0.9375,0.982422,0.966341,0.0438356,0.535213,1,2,xgboost
0.947703,0.225,0.774275,0.775926,0.778125,0.996875,0.9375,0.891089,0.913706,6,11,0.888889,0.75641,0.676923,0.770833,0.75,0.8125,0.989955,0.981511,0.0346721,0.578148,2,2,xgboost
0.960431,0.171875,0.81377,0.823364,0.83125,0.996875,0.9375,0.927835,0.932642,6,7,0.95,0.835443,0.784615,0.765957,0.666667,0.9375,0.992094,0.979459,0.030577,0.476891,3,2,xgboost
0.955095,0.203125,0.784942,0.790846,0.796875,1,0.896907,0.977528,0.935484,10,2,0.9125,0.772152,0.8125,0.638298,0.727273,0.882353,0.992418,0.983729,0.0305781,0.565913,4,2,xgboost
0.945393,0.215625,0.777128,0.770217,0.79375,0.990625,0.864583,0.922222,0.892473,13,7,0.901235,0.772152,0.78125,0.729167,0.75,0.6875,0.982375,0.959814,0.0552235,0.697358,0,0,lightgbm
0.956647,0.18125,0.803241,0.796573,0.821875,0.996875,0.958333,0.958333,0.958333,4,4,0.901235,0.858974,0.769231,0.8125,0.6875,0.75,0.992327,0.98079,0.0204359,0.562046,1,0,lightgbm
0.943416,0.253125,0.741645,0.748365,0.746875,1,0.864583,0.932584,0.897297,13,6,0.925926,0.602564,0.784615,0.583333,0.78125,0.8125,0.989397,0.975453,0.04239,0.829744,2,0,lightgbm
0.95293,0.203125,0.808208,0.813273,0.8,0.996875,0.947917,0.90099,0.923858,5,10,0.9125,0.746835,0.707692,0.787234,0.787879,0.9375,0.988886,0.976878,0.0412591,0.653796,3,0,lightgbm
0.950949,0.215625,0.785804,0.779943,0.784375,1,0.907216,0.946237,0.926316,9,5,0.9,0.734177,0.75,0.744681,0.727273,0.823529,0.985021,0.975785,0.0359977,0.687268,4,0,lightgbm
0.950138,0.21875,0.769537,0.782571,0.784375,0.996875,0.895833,0.934783,0.914894,10,6,0.91358,0.797468,0.703125,0.6875,0.65625,0.9375,0.984328,0.970958,0.0451194,0.753737,0,1,lightgbm
0.948461,0.2125,0.787757,0.789627,0.79375,0.99375,0.9375,0.957447,0.947368,6,4,0.876543,0.717949,0.830769,0.75,0.75,0.8125,0.993118,0.984591,0.0274138,0.602506,1,1,lightgbm
0.949275,0.21875,0.777429,0.772477,0.78125,1,0.895833,0.955556,0.924731,10,4,0.851852,0.769231,0.784615,0.729167,0.6875,0.8125,0.993676,0.985354,0.0307684,0.739716,2,1,lightgbm
